X,Y,Z
-2010435.0,2765295.0,32767.0
-2010405.0,2765295.0,32767.0
-2010375.0,2765295.0,32767.0
-2010345.0,2765295.0,32767.0
-2010315.0,2765295.0,32767.0
-2010285.0,2765295.0,32767.0
-2010255.0,2765295.0,32767.0
-2010225.0,2765295.0,32767.0
-2010195.0,2765295.0,32767.0
-2010165.0,2765295.0,32767.0
-2010135.0,2765295.0,32767.0
-2010105.0,2765295.0,32767.0
-2010075.0,2765295.0,32767.0
-2010045.0,2765295.0,32767.0
-2010015.0,2765295.0,32767.0
-2009985.0,2765295.0,32767.0
-2009955.0,2765295.0,32767.0
-2009925.0,2765295.0,32767.0
-2009895.0,2765295.0,32767.0
-2009865.0,2765295.0,32767.0
-2009835.0,2765295.0,32767.0
-2009805.0,2765295.0,32767.0
-2009775.0,2765295.0,32767.0
-2009745.0,2765295.0,32767.0
-2009715.0,2765295.0,32767.0
-2009685.0,2765295.0,32767.0
-2009655.0,2765295.0,32767.0
-2009625.0,2765295.0,32767.0
-2009595.0,2765295.0,32767.0
-2009565.0,2765295.0,32767.0
-2009535.0,2765295.0,32767.0
-2009505.0,2765295.0,32767.0
-2009475.0,2765295.0,32767.0
-2009445.0,2765295.0,32767.0
-2009415.0,2765295.0,32767.0
-2009385.0,2765295.0,32767.0
-2009355.0,2765295.0,32767.0
-2009325.0,2765295.0,32767.0
-2009295.0,2765295.0,32767.0
-2009265.0,2765295.0,32767.0
-2009235.0,2765295.0,32767.0
-2009205.0,2765295.0,32767.0
-2009175.0,2765295.0,32767.0
-2009145.0,2765295.0,32767.0
-2009115.0,2765295.0,32767.0
-2009085.0,2765295.0,32767.0
-2009055.0,2765295.0,32767.0
-2009025.0,2765295.0,32767.0
-2008995.0,2765295.0,32767.0
-2008965.0,2765295.0,32767.0
-2008935.0,2765295.0,32767.0
-2008905.0,2765295.0,32767.0
-2008875.0,2765295.0,32767.0
-2008845.0,2765295.0,32767.0
-2008815.0,2765295.0,32767.0
-2008785.0,2765295.0,32767.0
-2008755.0,2765295.0,32767.0
-2008725.0,2765295.0,32767.0
-2008695.0,2765295.0,32767.0
-2008665.0,2765295.0,32767.0
-2008635.0,2765295.0,32767.0
-2008605.0,2765295.0,32767.0
-2008575.0,2765295.0,32767.0
-2008545.0,2765295.0,32767.0
-2008515.0,2765295.0,32767.0
-2008485.0,2765295.0,32767.0
-2008455.0,2765295.0,32767.0
-2008425.0,2765295.0,32767.0
-2008395.0,2765295.0,32767.0
-2008365.0,2765295.0,952.0
-2008335.0,2765295.0,953.0
-2008305.0,2765295.0,953.0
-2008275.0,2765295.0,954.0
-2008245.0,2765295.0,957.0
-2008215.0,2765295.0,32767.0
-2008185.0,2765295.0,32767.0
-2008155.0,2765295.0,32767.0
-2008125.0,2765295.0,32767.0
-2008095.0,2765295.0,32767.0
-2008065.0,2765295.0,32767.0
-2008035.0,2765295.0,32767.0
-2008005.0,2765295.0,32767.0
-2007975.0,2765295.0,32767.0
-2007945.0,2765295.0,32767.0
-2007915.0,2765295.0,32767.0
-2007885.0,2765295.0,32767.0
-2007855.0,2765295.0,32767.0
-2007825.0,2765295.0,32767.0
-2007795.0,2765295.0,32767.0
-2007765.0,2765295.0,32767.0
