X,Y,Elevation
-2063295.0,2713995.0,32767
-2063265.0,2713995.0,32767
-2063235.0,2713995.0,32767
-2063205.0,2713995.0,32767
-2063175.0,2713995.0,32767
-2063145.0,2713995.0,32767
-2063115.0,2713995.0,32767
-2063085.0,2713995.0,32767
-2063055.0,2713995.0,32767
-2063025.0,2713995.0,32767
-2062995.0,2713995.0,32767
-2062965.0,2713995.0,32767
-2062935.0,2713995.0,32767
-2062905.0,2713995.0,32767
-2062875.0,2713995.0,32767
-2062845.0,2713995.0,32767
-2062815.0,2713995.0,32767
-2062785.0,2713995.0,534
-2062755.0,2713995.0,553
-2062725.0,2713995.0,568
-2062695.0,2713995.0,577
-2062665.0,2713995.0,32767
-2062635.0,2713995.0,32767
-2062605.0,2713995.0,32767
-2062575.0,2713995.0,32767
-2062545.0,2713995.0,32767
-2062515.0,2713995.0,32767
-2062485.0,2713995.0,32767
-2062455.0,2713995.0,32767
-2062425.0,2713995.0,32767
-2062395.0,2713995.0,32767
-2062365.0,2713995.0,32767
-2062335.0,2713995.0,32767
-2062305.0,2713995.0,32767
-2062275.0,2713995.0,32767
-2062245.0,2713995.0,32767
-2062215.0,2713995.0,32767
-2062185.0,2713995.0,32767
-2062155.0,2713995.0,32767
-2062125.0,2713995.0,32767
-2062095.0,2713995.0,32767
-2062065.0,2713995.0,32767
-2062035.0,2713995.0,32767
-2062005.0,2713995.0,32767
-2061975.0,2713995.0,32767
-2061945.0,2713995.0,32767
-2061915.0,2713995.0,32767
-2061885.0,2713995.0,32767
-2061855.0,2713995.0,32767
-2061825.0,2713995.0,32767
-2061795.0,2713995.0,32767
-2061765.0,2713995.0,32767
-2061735.0,2713995.0,32767
-2061705.0,2713995.0,32767
-2061675.0,2713995.0,32767
-2061645.0,2713995.0,32767
-2061615.0,2713995.0,32767
-2061585.0,2713995.0,32767
-2061555.0,2713995.0,32767
-2061525.0,2713995.0,32767
-2061495.0,2713995.0,32767
-2061465.0,2713995.0,32767
-2061435.0,2713995.0,32767
-2061405.0,2713995.0,32767
-2061375.0,2713995.0,32767
-2061345.0,2713995.0,32767
-2061315.0,2713995.0,32767
-2061285.0,2713995.0,32767
-2061255.0,2713995.0,32767
-2061225.0,2713995.0,32767
-2061195.0,2713995.0,32767
-2061165.0,2713995.0,32767
-2061135.0,2713995.0,32767
-2061105.0,2713995.0,32767
-2061075.0,2713995.0,32767
-2061045.0,2713995.0,32767
-2061015.0,2713995.0,32767
-2060985.0,2713995.0,32767
-2060955.0,2713995.0,32767
